Respondent ID,Collector ID,Start Date,End Date,Do you use GitHub?,Do you implement GitHub in the classroom?,How familiar are you with GitHub?,How likely is it that you would recommend GitHub to a friend or colleague?,Do you use any sort of version control system in your classes?,Do you use GitHub Classroom?,What version control systems do you use in your course(s)? Select all that apply,,,,Which of the following Git features do you use in your courses?,,,,,,,,Which of the following GitHub features do you use in your courses? (Select all that apply),,,,,,,,,,,,Do you use GitHub to provide students in your course(s) with feedback on assignments?,Do students in your course(s) use GitHub to provide each other with feedback on assignments?,How long have you been using GitHub?,How long have you been implementing GitHub in your course(s)?,"In the future, will you continue to use GitHub in your course(s)?","In the future, will you use GitHub in your course(s)?",How easy or difficult was it to implement GitHub in the classroom?,How familiar were you with GitHub before implementing it in the classroom?,What tool(s) or resource(s) did you use to help with implementing GitHub in the classroom?,Which programming language(s) do you teach? (Select all that apply),,,,,,,,,,,,,What grade(s) or year(s) do you typically teach?,,,,,,,,,,,"In the course(s) where you implement GitHub, roughly what percentage of students' overall grade is determined by individual assignments?","In the course(s) where you implement GitHub, roughly what percentage of students' overall grade is determined by group assignments?",Roughly what percentage of students' overall grade is determined by individual assignments?,Roughly what percentage of students' overall grade is determined by group assignments?,Which of the following integrated development environments (IDEs) do students typically use in your courses? Select all that apply,,,,,,,,,,,,,,,,,About how many years have you been an instructor in your field?,What courses do you typically teach?,,,,,,,,,,,,,,,,,,,,,,,Age,Gender,,Race and Ethnicity (Select all that apply),,,,,,,,In what country do you live?
10672772308,230691319,4/18/19 5:33,4/18/19 6:01,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,,Forks,,Gists,,GitHub pages,,,Yes,No,More than 3 years,More than 3 years,Yes,,Easy,Extremely familiar,"linux, terminal, web browser, that's it.",JavaScript,HTML,CSS,SQL,Java,Bash/Shell,Python,R,,PHP,C++,C,"Java, Groovy, Pascal",,,,,College freshmen,College sophomores,College juniors,College seniors,,,,50,25,,,Android Studio,Atom,,,IntelliJ,,NetBeans,,,,,,Vim,,Visual Studio Code,,,8,Algorithms,,,,,,,,,,Human-Computer Interaction,,,,,,Programming Languages,,Software Development Fundamentals,Software Engineering,Systems Architecture,Web development,Software Testing,32,Male,,,,Hispanic or Latino/Latina,,,,,,Brazil
10672714945,230691319,4/18/19 5:04,4/18/19 5:14,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,Rebase,Git-cherry-pick,,Issues,Labels,README.md,,Projects,,,Gists,,GitHub pages,,,Yes,Yes,More than 3 years,More than 3 years,Yes,,Very easy,Extremely familiar,GitKraken and VSCode,JavaScript,HTML,CSS,SQL,,,Python,,,PHP,,,,High school freshmen,,,,,,College juniors,,Graduate level students,,,65,80,,,Android Studio,Atom,Eclipse,,,,,Notepad++,,,,,,,Visual Studio Code,XCode,,8,Algorithms,AP Computer Science - A,AP Computer Science - Principles,Architecture and Organization,,,,,Data Structures,,,,Networking and Communication,Operating Systems,,,Programming Languages,,,,,Web development,,37,Male,,,,,,,,White or of European descent,,Brazil
10672712411,230691319,4/18/19 5:03,4/18/19 5:11,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,10,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,,,README.md,Pull requests,,Forks,,,,,,,No,No,More than 3 years,1 - 6 months,Yes,,Easy,Slightly familiar,"Wikis, youtube videos",,,,SQL,Java,Bash/Shell,,,,,,,,,,,,,,,College seniors,Graduate level students,,,25,75,,,,Atom,Eclipse,,IntelliJ,,,Notepad++,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,Software Development Fundamentals,Software Engineering,,Web development,,48,Male,,,,,,,,White or of European descent,,United States of America
10672633419,230691319,4/18/19 4:16,4/18/19 4:22,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,No,Git,,,,Commits,Branches,,,,,,,,,README.md,,,,,Gists,,,,,No,No,More than 3 years,1 year - 3 years,Yes,,Easy,Very familiar,,JavaScript,HTML,CSS,,,,,,,,,,,High school freshmen,High school sophomores,High school juniors,High school seniors,,,,,,,Courses,50,50,,,,Atom,,,,,,,,,,,Vim,,,,,6,Algorithms,,,,,,,,Data Structures,,,,,,,,,,,Software Engineering,,,,30,Male,,,,,,,South Asian,,,Brazil
10672418230,230691319,4/18/19 1:45,4/18/19 1:54,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,8,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,,,Maybe,,,,,,,,,,Python,R,,,,,,,,,,,,,,Graduate level students,,,,,80,20,,,,,,,,,,,RStudio,,,,,,,20,,,,,Artificial Intelligence,,,,Data Structures,,,Machine Learning,,,,,,,,,,,,56,Male,,,East Asian,,,,,,,Japan
10672350283,230691319,4/18/19 0:55,4/18/19 1:00,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Extremely familiar,7,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,,,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672295267,230691319,4/18/19 0:15,4/18/19 0:30,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,Rebase,Git-cherry-pick,,Issues,Labels,README.md,Pull requests,Projects,Forks,Stars,Gists,Insights,GitHub pages,,,Yes,Yes,More than 3 years,More than 3 years,Yes,,Easy,Very familiar,See https://campusvirtual.ull.es/ocw/course/view.php?id=136,JavaScript,HTML,CSS,,,,,,,,,C,Ruby,,,,,,,,College seniors,,,,80,20,,,,Atom,,,,,,,,,,,Vim,,Visual Studio Code,,,41,Algorithms,,,,,Computer Science I,,,Data Structures,,,,,,Parallel and Distributed Computing,,Programming Languages,,Software Development Fundamentals,Software Engineering,,Web development,,63,Male,,,,,,,,White or of European descent,,Spain
10672193404,230691319,4/17/19 22:42,4/17/19 22:53,"No, but I used to use GitHub","No, and I would not like to implement GitHub in the classroom",Slightly familiar,8,"No, and I would not like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maybe,,,,,,,,Java,,,,,,,,,,,,,,,,,Graduate level students,,,,,15,,,,Eclipse,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,Programming Languages,,Software Development Fundamentals,Software Engineering,,,Software Design,45,Male,,,,,,,,White or of European descent,,Spain
10672152041,230691319,4/17/19 21:57,4/17/19 22:06,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,10,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Yes,,,,,,,,,,Python,,,,,C,,,,,,,,,College seniors,Graduate level students,,,,,70,83,,,,,,,,,,PyCharm,,,,Visual Studio,,,,6,Algorithms,,,,,Computer Science I,,,Data Structures,,,,,,,,,,,,,Web development,,29,Male,,,East Asian,,,,South Asian,,,India
10672139757,230691319,4/17/19 21:44,4/17/19 21:52,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,7,Yes,Yes,Git,,,,Commits,,Adding a remote,Push / Pull,,,,,Issues,,,,,,,,,GitHub pages,,,Yes,Yes,More than 3 years,1 year - 3 years,Maybe,,Neither easy nor difficult,Very familiar,"github classroom, several bash and Python scripts written by me or adapted from snippets out there, that assignment downloading tool",,,,,,,Python,,,,C++,,,,,,,College freshmen,,,College seniors,,,,40,,,,,,,,,,,,,,,,,,,,"Jupyter, Geany, Spyder",8,Algorithms,,,,Artificial Intelligence,Computer Science I,,,,,,Machine Learning,,,,,,,,,,,,40,Male,,,,,,,,White or of European descent,,Turkey
10672124496,230691319,4/17/19 21:28,4/17/19 21:37,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,Subversion,,Commits,Branches,,Push / Pull,,,,,,,,Pull requests,Projects,,,,,,,,No,Yes,More than 3 years,1 year - 3 years,Yes,,Very easy,Very familiar,GitKraken,,,,,Java,,Python,,,,,,,,,,,,,,,,,University,80,20,,,Android Studio,,,,,,,,,,,,,,Visual Studio Code,,,6,,,,,,,,,,,,,,,,,,,,Software Engineering,,,,39,Male,,,,Hispanic or Latino/Latina,,,,,,Guatemala
10672072629,230691319,4/17/19 20:38,4/17/19 20:49,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,3,Yes,No,Git,,,,Commits,,,,,,,,Issues,Labels,README.md,,,,,,,,,,No,No,More than 3 years,More than 3 years,No,,Very easy,Not at all familiar,sourcetree,JavaScript,HTML,CSS,SQL,Java,Bash/Shell,,,C#,PHP,,,,,,,,College freshmen,,College juniors,College seniors,,,,36,61,,,Android Studio,,Eclipse,,,,,,PHPStorm,,,,Vim,Visual Studio,Visual Studio Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672065943,230691319,4/17/19 20:31,4/17/19 20:39,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Slightly familiar,8,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Maybe,,,,,,,,,,,,,,C++,C,,,,,,,,,College seniors,Graduate level students,Non-traditional students,,,,70,20,,,,,,,,,,,,Sublime Text,Vim,Visual Studio,,XCode,,10,,,,,,,,,,,,,,,Parallel and Distributed Computing,,Programming Languages,,,,,,,41,Male,,,East Asian,,,,,,,
10672044372,230691319,4/17/19 20:12,4/17/19 20:15,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,No,Git,,,,Commits,Branches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672043702,230691319,4/17/19 20:12,4/17/19 20:22,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,Projects,,,,Insights,GitHub pages,,,Yes,Yes,More than 3 years,More than 3 years,Yes,,Easy,Very familiar,Mostly GitHub documentation. ,JavaScript,HTML,CSS,,,,,,,PHP,,,,,,,,College freshmen,College sophomores,,,,,,80,20,,,,,,,,,,Notepad++,,,,Sublime Text,Vim,Visual Studio,Visual Studio Code,,,6,,,,,,,,,,Graphics and Visualization,Human-Computer Interaction,,,,,,,,,Software Engineering,,Web development,,32,Female,,,,,,,,White or of European descent,,New Zealand
10672030687,230691319,4/17/19 20:01,4/17/19 20:04,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,10,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,,,,,Issues,Labels,README.md,Pull requests,Projects,,,,,,,,Yes,Yes,Less than a month,Less than a month,Yes,,,,,,,,,,,,,,,,,,,,,,College freshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10672016522,230691319,4/17/19 19:48,4/17/19 20:20,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,Issues,,README.md,Pull requests,,,Stars,Gists,,,,,Yes,Yes,6 months - 1 year,1 - 6 months,Yes,,Neither easy nor difficult,Moderately familiar,Slides,,,,,,,,,,PHP,,,,High school freshmen,,,,,,,,,,,73,77,,,,,,,,,,,,,,,,,Visual Studio Code,,,1,,,,,,,,,,,,,,,,,Programming Languages,,,,,,,32,Male,,,,Hispanic or Latino/Latina,,,,,,Nicaragua
10671977919,230691319,4/17/19 19:17,4/17/19 19:27,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,9,Yes,No,Git,,Subversion,,Commits,,,Push / Pull,,,,,Issues,Labels,README.md,,Projects,,,Gists,,GitHub pages,,,Yes,No,More than 3 years,More than 3 years,Yes,,Easy,Slightly familiar,Just tinkering around in GitHub a little before classes started,,,,,,,,,C#,,,,,,,,,,College sophomores,College juniors,College seniors,,,,80,20,,,,,,,,,,,,,,,,Visual Studio,,,,10,,,,,,,,,,,,,,,,,,,,,,,Game Development,42,Male,,,,,,,,White or of European descent,,United States of America
10671975137,230691319,4/17/19 19:14,4/17/19 19:26,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,8,Yes,No,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,Issues,,,,Projects,,,,,,,,Yes,Yes,More than 3 years,More than 3 years,Yes,,Neither easy nor difficult,Very familiar,Had to find nice online resources that present a relatively simple but powerful Git/Github workflow.,,,,,,,,,,,C++,C,,,,,,,College sophomores,College juniors,College seniors,Graduate level students,,,65,35,,,,,,,,,,,,,,,,Visual Studio,Visual Studio Code,,,22,Algorithms,,,,,,,,,,,,,,,,,,,,,,"Computational Methods, Simulation, Design",50,Male,,,,,,,,White or of European descent,,United States of America
10671926701,230691319,4/17/19 18:39,4/17/19 18:57,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,10,Yes,,Git,,,,Commits,Branches,Adding a remote,Push / Pull,,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Yes,,,,,,,,Java,,Python,,,,,C,,,,High school juniors,High school seniors,,,College juniors,,,,,,,70,30,Android Studio,,,,IntelliJ,,,,,,,Sublime Text,,,Visual Studio Code,,,12,Algorithms,,,,Artificial Intelligence,Computer Science I,Computer Science II,,,,,,,,,,Programming Languages,,,,,,,34,Male,,,,,,,,White or of European descent,,Brazil
10671920754,230691319,4/17/19 18:34,4/17/19 20:05,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,9,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,Rebase,Git-cherry-pick,,Issues,,,Pull requests,Projects,,Stars,Gists,,,,,Yes,Yes,More than 3 years,1 year - 3 years,Yes,,Easy,Extremely familiar,Just a whiteboard and some slides,JavaScript,,,SQL,Java,,,,,,,,,,,,,,,College juniors,,,,,60,40,,,,,Eclipse,,IntelliJ,,,,,,,Sublime Text,,,,,,5,,,,,,,,,,,,,,Operating Systems,,Platform-based Development,,,Software Development Fundamentals,Software Engineering,Systems Architecture,,,32,Male,,,,,,,,White or of European descent,,Argentina
10671920504,230691319,4/17/19 18:34,4/17/19 18:38,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Very familiar,10,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Yes,,,,,,,,,,Python,R,,,C++,C,,,,,,,,,,Graduate level students,,,,,50,16,Android Studio,,,,,,,,,PyCharm,RStudio,,,,Visual Studio Code,,,6,,,,,Artificial Intelligence,,,,,Graphics and Visualization,,,,,,,,,,,,,,43,Male,,,,,,,South Asian,,,United States of America
10671889842,230691319,4/17/19 18:12,4/17/19 18:18,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,8,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,,,,,,,README.md,Pull requests,,,,,,,,,Yes,No,1 year - 3 years,1 year - 3 years,Yes,,Neither easy nor difficult,Moderately familiar,,JavaScript,HTML,CSS,SQL,Java,,,,,,,,,,,,,College freshmen,College sophomores,,,,,,62,30,,,,Atom,Eclipse,Emacs,,,,,,,,,,,,,,15,,,,,,,,,,,,,Networking and Communication,,,,,,,Software Engineering,,,,44,Male,,,,,,,,White or of European descent,,United States of America
10671877491,230691319,4/17/19 18:03,4/17/19 18:13,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,10,Yes,No,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,,,README.md,Pull requests,,Forks,,,,,,,No,No,1 year - 3 years,1 year - 3 years,Yes,,Neither easy nor difficult,Moderately familiar,Linux,,,,SQL,Java,,Python,R,,,,,,,,,,,,,,Graduate level students,,,18,16,,,,,Eclipse,,,IPython / Jupyter,,,,PyCharm,RStudio,Sublime Text,,,,,,6 years ,,,,,,,,,,,,Machine Learning,,,,,Programming Languages,,Software Development Fundamentals,,,,,43,Male,,,,,,,,White or of European descent,,United States of America
10671852082,230691319,4/17/19 17:45,4/17/19 17:53,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Very familiar,8,Yes,,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,,,,,,,,,,,,,,,More than 3 years,,,Maybe,,,,,,,,Java,,,,,,,C,,,,,,College freshmen,,,College seniors,,,,,,50,50,Android Studio,,Eclipse,,IntelliJ,,,,,,,,,,,,,20,,,,,,,,,,,Human-Computer Interaction,,,,,,Programming Languages,,,Software Engineering,,Web development,Internet of Things,47,Male,,,East Asian,,,,,,,Indonesia
10671849855,230691319,4/17/19 17:44,4/17/19 17:44,"No, but I used to use GitHub","No, but I would like to implement GitHub in the classroom",Slightly familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671847621,230691319,4/17/19 17:42,4/17/19 17:46,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,,Yes,No,Git,,,,Commits,,,,,,,,Issues,,,,,,,,,,,,Yes,Yes,Less than a month,Less than a month,Maybe,,Very easy,Not at all familiar,smartgit,JavaScript,,,,,,,,,,,,,,,,,,,College juniors,,,,,73,71,,,,,,,,,,,,,RStudio,,,,,,,10,,,,,,,,,Data Structures,,,,,,,,,,,,,,,30,Male,,,East Asian,,,,,,,China
10671811266,230691319,4/17/19 16:44,4/17/19 17:22,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,8,Yes,No,Git,,,,Commits,,,Push / Pull,,,,,,,,,Projects,Forks,,,,,,,No,No,More than 3 years,6 months - 1 year,Yes,,Neither easy nor difficult,Moderately familiar,Software Carpentry,,,,,,Bash/Shell,Python,R,,,,,,,,,,College freshmen,College sophomores,College juniors,College seniors,Graduate level students,,,,,,,,,,,,IPython / Jupyter,,,,,RStudio,,,,,,,2,,,,,,,,,,Graphics and Visualization,,,,,,,,,,,,,"Statistics, Research Methods",39,Male,,,,,,,,White or of European descent,,Australia
10671802127,230691319,4/17/19 17:10,4/17/19 17:11,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671765979,230691319,4/17/19 16:46,4/17/19 16:56,"Yes, I currently use GitHub","No, and I would not like to implement GitHub in the classroom",Moderately familiar,7,"No, and I would not like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,,,No,,,,,,,,,,Python,,,,,,,,,,,,College sophomores,College juniors,,,,,,,100,,,,,,,,,,,,,,,,,,python IDLE,20,,,,,,,,,,,,,,,,,,,,,,,"Statistics, Psychology",46,Male,,,East Asian,,,,,,,Japan
10671758993,230691319,4/17/19 16:42,4/17/19 16:48,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,8,"No, but I would like to",Yes,,,,,,,,,,,,,,,,Pull requests,Projects,Forks,,Gists,,GitHub pages,,,No,No,1 - 6 months,6 months - 1 year,Yes,,Neither easy nor difficult,Moderately familiar,Cloud,,,,,Java,,Python,,,,,,,,,,,,College sophomores,College juniors,College seniors,Graduate level students,,,55,9,,,Android Studio,Atom,Eclipse,,,,,,,,,,,,,,,16,,,,,,,,,Data Structures,,,,Networking and Communication,,,,,,,,,,,49,Male,,,East Asian,,,,,,,Republic of Korea
10671748734,230691319,4/17/19 16:35,4/17/19 17:43,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,,,README.md,Pull requests,Projects,Forks,Stars,Gists,,GitHub pages,,,Yes,Yes,More than 3 years,1 - 6 months,Yes,,Easy,Very familiar,I use RStudio to help and GitKrakken,,HTML,CSS,SQL,,Bash/Shell,Python,R,,,,,,,,,,College freshmen,College sophomores,College juniors,College seniors,,,,70,30,,,,,,,,,,,,,RStudio,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,Reproducible Research,57,Male,,,,,,,,White or of European descent,,United States of America
10671722974,230691319,4/17/19 16:18,4/17/19 16:23,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,Rebase,,,Issues,Labels,README.md,Pull requests,Projects,Forks,Stars,Gists,,,,,Yes,Yes,1 year - 3 years,1 year - 3 years,Yes,,Easy,Extremely familiar,Google,,HTML,CSS,SQL,,,Python,,,PHP,,,,,,,,,,College juniors,,,,,85,90,,,Android Studio,Atom,,,,,,Notepad++,PHPStorm,,,Sublime Text,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,English,30,Male,,,,,Middle Eastern,,,,,Turkey
10671702170,230691319,4/17/19 16:05,4/17/19 16:15,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,9,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,Projects,,,Gists,,GitHub pages,,,Yes,No,More than 3 years,More than 3 years,Yes,,Neither easy nor difficult,Moderately familiar,"Wikis, cheat-sheets, other online resources.",,,,,Java,Bash/Shell,Python,,,,C++,C,assembly,,,,,,,College juniors,College seniors,,,,50,50,,,,Atom,,,,,,,,,,Sublime Text,Vim,,Visual Studio Code,,,18,,,,,,,,,,,,,,,Parallel and Distributed Computing,,,,,,Systems Architecture,,Compilers,45,Male,,,,,,,,White or of European descent,,United States of America
10671698212,230691319,4/17/19 16:03,4/17/19 16:04,"Yes, I currently use GitHub","No, and I would not like to implement GitHub in the classroom",Very familiar,8,Yes,,Git,,Subversion,,Commits,Branches,,Push / Pull,Resolving merge conflicts,Rebase,,,,,,,,,,,,,,,,,More than 3 years,,,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671676193,230691319,4/17/19 15:50,4/17/19 15:55,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,8,Yes,,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Yes,,,,,HTML,CSS,,,,Python,,C#,,C++,C,,,,,,,,,,Graduate level students,,,,,80,80,,,,,,IPython / Jupyter,,,,,,,Vim,Visual Studio,,,,,,,,,,,,,,Graphics and Visualization,,,,,,,,,,,,,,35,Male,,,East Asian,,,,,,,Japan
10671669419,230691319,4/17/19 15:46,4/17/19 15:50,"Yes, I currently use GitHub","No, and I would not like to implement GitHub in the classroom",Extremely familiar,10,"No, and I would not like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,,,No,,,,,,,,,,,R,,,,,EES,,,,,,College sophomores,,College seniors,,,,,,84,15,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,Mechanical Engineering,52,Male,,,,,,,,White or of European descent,,United States of America
10671659592,230691319,4/17/19 15:40,4/17/19 15:55,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,No,Git,,,,Commits,,,Push / Pull,,,,,,,README.md,Pull requests,,,Stars,Gists,,,,,Yes,No,1 year - 3 years,1 year - 3 years,Yes,,Easy,Moderately familiar,Campus Advisors crash course,,,,,,,Python,,C#,,C++,,,,,,,,College sophomores,College juniors,College seniors,Graduate level students,,,70,30,,,,,,,,IPython / Jupyter,,,,PyCharm,,,,Visual Studio,,,Arduino IDE,13 years,,,,,,,,,,,,Machine Learning,,,,,Programming Languages,,,,,,"Digital Control , Sensors and Measurements",38,Male,,,,,Middle Eastern,,,,,Egypt
10671657176,230691319,4/17/19 15:39,4/17/19 15:43,"Yes, I currently use GitHub","No, and I would not like to implement GitHub in the classroom",Moderately familiar,8,Yes,,Git,,,,Commits,,,Push / Pull,Resolving merge conflicts,,,,,,,,,,,,,,,,,,1 year - 3 years,,,No,,,,,,,,,,,,C#,,C++,,,,,,,College freshmen,,College juniors,College seniors,Graduate level students,,,,,70,30,,,,,,,,,,,,,,Visual Studio,,,,10,Algorithms,,,,,Computer Science I,Computer Science II,,Data Structures,Graphics and Visualization,,,,,,,,,,,,,,37,Male,,,,,,,,White or of European descent,,United States of America
